run_id,method,instance,seed,generation,chromosome_count,decoded_candidate_count,feasible_candidate_count,non_dominated_count,selected_survivor_count,best_pick_faces,best_storage_total,best_interior_storage,best_retrieval_penalty,mean_pick_faces,mean_storage_total,mean_interior_storage,mean_retrieval_penalty,runtime_seconds
proposed_nsga2_bs_Gyorgy-KOVACS_WH_Wide_AW_5_seed_105,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Wide_AW_5,105,0,12,37,21,3,12,247,647,250,368,217.04761904761904,572.2380952380952,355.1904761904762,626.4761904761905,75.55871669999033
proposed_nsga2_bs_Gyorgy-KOVACS_WH_Wide_AW_5_seed_105,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Wide_AW_5,105,1,12,41,23,5,12,256,722,250,311,205.2173913043478,603.5217391304348,398.30434782608694,810.2608695652174,67.56432340000174
proposed_nsga2_bs_Gyorgy-KOVACS_WH_Wide_AW_5_seed_105,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Wide_AW_5,105,2,12,36,27,5,12,256,717,250,311,203.44444444444446,618.8518518518518,415.4074074074074,850.8518518518518,80.08098269999027
proposed_nsga2_bs_Gyorgy-KOVACS_WH_Wide_AW_5_seed_105,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Wide_AW_5,105,3,12,39,15,5,12,256,612,250,311,224.2,549.6666666666666,325.46666666666664,566.8666666666667,60.809505099998205
proposed_nsga2_bs_Gyorgy-KOVACS_WH_Wide_AW_5_seed_105,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Wide_AW_5,105,4,12,34,19,5,12,256,662,250,311,213.21052631578948,570.421052631579,357.2105263157895,646.421052631579,74.11435350000102
proposed_nsga2_bs_Gyorgy-KOVACS_WH_Wide_AW_5_seed_105,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Wide_AW_5,105,5,12,41,16,6,12,256,662,250,311,216.5625,561.375,344.8125,639.8125,61.217157400009455
proposed_nsga2_bs_Gyorgy-KOVACS_WH_Wide_AW_5_seed_105,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Wide_AW_5,105,6,12,42,19,6,12,256,662,250,311,214.0,568.578947368421,354.57894736842104,689.4736842105264,66.70267670000612
proposed_nsga2_bs_Gyorgy-KOVACS_WH_Wide_AW_5_seed_105,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Wide_AW_5,105,7,12,44,16,6,12,256,612,250,311,221.5625,548.875,327.3125,496.5625,52.51067050000711
proposed_nsga2_bs_Gyorgy-KOVACS_WH_Wide_AW_5_seed_105,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Wide_AW_5,105,8,12,40,10,5,10,256,567,250,311,228.2,530.0,301.8,431.5,54.868117200006964
proposed_nsga2_bs_Gyorgy-KOVACS_WH_Wide_AW_5_seed_105,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Wide_AW_5,105,9,12,44,15,5,12,256,572,250,311,224.26666666666668,543.0,318.73333333333335,484.06666666666666,54.135852699997486
proposed_nsga2_bs_Gyorgy-KOVACS_WH_Wide_AW_5_seed_105,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Wide_AW_5,105,10,12,36,12,4,12,256,662,250,311,211.16666666666666,576.1666666666666,365.0,680.5833333333334,64.2933006999956
proposed_nsga2_bs_Gyorgy-KOVACS_WH_Wide_AW_5_seed_105,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Wide_AW_5,105,11,12,44,16,3,12,256,707,279,311,209.625,588.875,379.25,686.5625,66.70719250000548
proposed_nsga2_bs_Gyorgy-KOVACS_WH_Wide_AW_5_seed_105,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Wide_AW_5,105,12,12,41,22,2,12,256,717,279,311,199.54545454545453,616.7727272727273,417.22727272727275,847.7272727272727,55.415148000000045
proposed_nsga2_bs_Gyorgy-KOVACS_WH_Wide_AW_5_seed_105,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Wide_AW_5,105,13,12,38,13,2,12,256,712,279,311,211.30769230769232,580.0769230769231,368.7692307692308,695.6153846153846,65.39219719999528
proposed_nsga2_bs_Gyorgy-KOVACS_WH_Wide_AW_5_seed_105,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Wide_AW_5,105,14,12,48,14,3,12,256,572,279,311,220.71428571428572,551.6428571428571,330.92857142857144,511.0,55.29042930000287
proposed_nsga2_bs_Gyorgy-KOVACS_WH_Wide_AW_5_seed_105,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Wide_AW_5,105,15,12,46,19,3,12,256,612,279,311,216.31578947368422,565.421052631579,349.10526315789474,563.0,66.10696839999582
proposed_nsga2_bs_Gyorgy-KOVACS_WH_Wide_AW_5_seed_105,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Wide_AW_5,105,16,12,40,11,2,11,256,572,279,311,218.8181818181818,556.0909090909091,337.27272727272725,499.0,74.74952759999724
proposed_nsga2_bs_Gyorgy-KOVACS_WH_Wide_AW_5_seed_105,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Wide_AW_5,105,17,12,39,17,6,12,256,572,250,311,225.11764705882354,539.9411764705883,314.8235294117647,483.2352941176471,76.51672339999641
